,chittagong_bangla_speech,chittagong_banglish_speech,bangla_speech,english_speech,given_label,surrogate_top1,surrogate_top1_prob,surrogate_top2,surrogate_top2_prob,vote_count,loss,entropy,flagged_by_CL,flagged_by_loss,flagged_by_entropy,flagged_by_knn,review_action
4,আঁরা মেসিরে গৃনা ন গরি,ara messire grina no gori,আমরা মেসিকে ঘৃণা করি না,We don't hate Messi,anger,disapproval,0.1,confusion,0.063,3,3.046,3.073,True,True,False,True,
11,"তোঁয়ারে কুব মনোত ফরের, দিয়্যুম তোঁয়ারে লাল গোলাপ","toyare kub monot forer, diyum toyare lal golap",তোমাকে খুব মনে পড়ছে দিব তোমায় লাল গোলাপ,"I miss you so much, I will give you red roses",sadness,caring,0.092,joy,0.064,3,2.946,3.071,True,True,False,True,
13,যরর দিনঅত গরম গরম কিচুরি আর গরু গোস্ত হাইত গম লাগে,joror dinot gorom gorom kicuri ar goru gosto haito gom lage,বৃষ্টির দিনে গরম গরম খিচুড়ি আর গরু মাংস খেতে ভালো লাগে,I like to eat hot hot khichuri and beef on rainy days,love,disapproval,0.085,neutral,0.067,3,2.817,3.063,True,True,False,True,
19,আর জামাই আর তারার বাড়ির মানুষ তারা হোনভাবেই রাজি নো,ar jamai ar tarar barir manush tara honovabei raji no,আমার স্বামী এবং তার বাড়ির লোকজন কোনভাবেই রাজি না,My husband and his family do not agree at all,approval,neutral,0.101,anger,0.072,3,2.993,3.052,True,True,False,True,
21,উনি যিয়ান হইয়ে ইয়ানই ঠিক আর ইয়ানি হইবো,uni jiyan hoiye iyani thik ar iyani hibo,উনি যেইটা বলবে সেইটাই ঠিক আর সেইটাই করবে,Whatever he says is right and that is what he will do,neutral,approval,0.08,confusion,0.075,2,2.859,3.079,False,True,False,True,
29,এই সেই সোনালি যুগ অর সেই ফ্রাচিন গান যে গান ফুইনলে বুক্কান বরি যা গই,ei sei sonali jug or sei fracin gan je gan fuinle bukkan bori ja goi,এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,This is the ancient song of the golden age that fills the heart,admiration,sadness,0.068,confusion,0.067,3,2.792,3.083,True,False,True,True,
30,সন্ধ্যায় আয়ার মা আইয়েরে আরে অভিযোগ গরের আর বাফোর ফোওয়ারিত ঝগরা অইয়ে।,sondhay ayar ma aiyere are ovijog gorer ar bafor fowyarit jhogra oiye,সন্ধ্যায় আমার মা এসে আমাকে অভিযোগ দিলো আমার বাবার সাথে ঝগড়া হয়েছে আবার,In the evening my mother came and complained to me that I had a quarrel with my father again,neutral,neutral,0.09,sadness,0.066,2,2.407,3.085,False,False,True,True,
38,একমাত্র মাইয়াফোয়ারাই ফারে সংসার ঘুছায় রাহে,ekmatro maiyafoyarai fare songsar ghuchay rahe,একমাত্র মেয়েরাই পারে সংসার গুছিয়ে রাখতে,Only girls can manage the family,neutral,neutral,0.064,admiration,0.063,2,2.753,3.086,False,False,True,True,
48,আরে নো ডাইক্কো,are no daikko,আমাকে ডাকবেন না,Don't call me,anger,disapproval,0.143,caring,0.074,3,3.213,3.009,True,True,False,True,
60,"আযিয়া তোঁয়ার মাইয়্যারে লই আরা বইমেলা গুইরগি ,কিন্তু হনো আনন্দ ন ফাই",ajiya toyar maiyare loi ara boimela guirgi kintu hono anondo no fai,আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি,"Today I went around the book fair with your daughter, but did not get any joy",joy,confusion,0.068,fear,0.063,4,2.81,3.086,True,True,True,True,
62,আঁর মার রাঁদা বউত মযা,ar mar rada bout moja,আমার মায়ের রান্না অনেক মজার,My mother's cooking is very interesting,excitement,amusement,0.117,neutral,0.073,2,3.043,3.029,True,True,False,False,
64,ইয়ান আরার বাড়ি,iyan arar bari,এটা আমাদের বাড়ি,This is our home,neutral,neutral,0.063,sadness,0.062,2,2.762,3.094,False,False,True,True,
71,আঁই কা এগাযা হস্ট ফাই?,ai ka egaja hosto fai?,আমি কেন সবসময় কষ্ট পাই?,Why do I always suffer?,confusion,curiosity,0.09,sadness,0.076,3,3.03,3.068,True,True,False,True,
78,"বহুত ডর লাইব্রেরি হোন সন্দেহ নাই, ব্যবস্থা  বহুত ভালা","bohut dor library hono sondeh nai, bebostha  bohut vala","খুবই বড়ো লাইব্রেরি সন্দেহ নেই, ব্যবস্থাও খুব ভালো","Very big library no doubt, system is also very good",disapproval,admiration,0.113,disapproval,0.066,2,2.719,3.045,True,False,False,True,
96,আর জীবন আই তোয়ারেলই বাইচতাম দিউম,ar jibon ai toyareli baictam dium,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,I will give my life to live with you,caring,caring,0.076,neutral,0.068,2,2.576,3.088,False,False,True,True,
